Date,City,Event
1/24/20,Chicago,First case of COVID-19 in state
3/9/20,Chicago,State of emergency declared
3/15/20,Chicago,Bars and restaurants close dining rooms
3/17/20,Chicago,Restrictions on Public Gatherings
3/21/20,Chicago,Shelter-in-place order begins
3/21/20,Chicago,"Shutdown of events of more than 1,000 people"
5/29/20,Chicago,Shelter-in-place order ends
12/15/20,Chicago,Vaccination Phase 1A
1/25/21,Chicago,Vaccination Phase 1B
3/29/21,Chicago,Vaccination Phase 1C
4/19/21,Chicago,Vaccination Phase 2 (All Chicagoans 16 and older)
5/26/21,Chicago,Enters Phase 5
3/1/20,New York City,First case of COVID-19 in state
3/16/20,New York City,NYC public schools close
3/17/20,New York City,State of emergency declared
3/17/20,New York City,Bars and restaurants close dining rooms
3/22/20,New York City,Stay-at-home order begins
5/15/20,New York City,Stay-at-home order ends
6/8/20,New York City,Phase 1 Reopening
6/22/20,New York City,Phase 2 Reopening
7/6/20,New York City,Phase 3 reopening
7/19/20,New York City,Phase 4 reopening
9/29/20,New York City,Elementary Schools reopen
10/1/20,New York City,Middle/High Schools Reopen
11/13/20,New York City,Curfews on restaurants and gyms
11/19/20,New York City,Schools move back to remote learning
3/30/21,New York City,Vaccinations for age 30 and up
4/6/21,New York City,Vaccinations for age 16 and up
1/24/20,San Francisco,First case of COVID-19 in state
2/25/20,San Francisco,State of emergency declared. Schools closed
3/4/20,San Francisco,First COVID-19 related death
3/15/20,San Francisco,Bars and restaurants limit capacity
3/16/20,San Francisco,Stay-at-home order begins
1/25/21,San Francisco,Stay-at-home order ends
7/13/20,San Francisco,All in-door businesses closed
11/10/20,San Francisco,Spike in cases
12/4/20,San Francisco,Second shelter-in-place order begins
12/17/20,San Francisco,10 day quarantine order
2/16/21,San Francisco,Mass vaccination sites open
6/15/21,San Francisco,All business and activities reopen
1/24/20,Los Angeles,First case of COVID-19 in state
2/25/20,Los Angeles,State of emergency declared. Schools closed
3/11/20,Los Angeles,First COVID-19 related death
3/16/20,Los Angeles,Bars and restaurants close dining rooms
3/16/20,Los Angeles,Schools close
3/19/20,Los Angeles,Stay-at-home order issued
1/25/21,Los Angeles,Stay-at-home order ends
6/29/20,Los Angeles,Restaurants open with limited capacity
10/14/20,Los Angeles,Rise in outbreaks
4/14/21,Los Angeles,Vaccination available to general public
12/15/21,Los Angeles,First vaccine administered in LA
3/7/20,Washington DC,First case of COVID-19 in D.C.
3/11/20,Washington DC,State of emergency declared
3/13/20,Washington DC,Public schools close
3/16/20,Washington DC,Bars and restaurants close dining rooms
3/23/20,Washington DC,Non-essential workers ordered to stay home
3/30/20,Washington DC,Stay-at-home order issued
6/8/20,Washington DC,Stay-at-home order ends
6/22/20,Washington DC,Phase 2 Reopening
9/2/20,Washington DC,Phase 3 reopening
10/5/20,Washington DC,Schools issue reopening plan
12/17/20,Washington DC,First vaccine administered in DC
2/5/21,Washington DC,Mass vaccination sites open
2/28/20,Portland,First case of COVID-19 in state
3/8/20,Portland,State of emergency declared
3/13/20,Portland,Schools annonce plans to close
3/16/20,Portland,Bars and restaurants close dining rooms
3/23/20,Portland,Stay-at-home order issued
4/6/20,Portland,Public transit reduces services
4/28/20,Portland,Slow Streets | Safe Streets Initiative
5/18/20,Portland,Stay-at-home order ends
4/15/21,Portland,Vaccinations avaiable to ages 16+
3/1/20,Minneapolis,First confirmed case
3/13/20,Minneapolis,State of emergency declared
3/15/20,Minneapolis,Public schools close
3/16/20,Minneapolis,All non-essential businesses ordered to close
3/25/20,Minneapolis,Stay-at-home order begins
5/18/20,Minneapolis,Stay-at-home order ends
5/18/20,Minneapolis,Non-essential businesses begin to reopen
5/25/20,Minneapolis,George Floyd protests begin
6/2/20,Minneapolis,bars and restaurants allow outdoor seating
11/23/20,Minneapolis,Public gathering restrictions in effect
2/16/21,Minneapolis,Capacity restrictions relaxes
3/10/21,Minneapolis,Acceleration of vaccination efforts
2/1/20,Boston,First case of COVID-19 in state
3/10/20,Boston,State of emergency declared
3/17/20,Boston,Schools close
3/15/20,Boston,Bars and restaurants limit capacity
3/23/20,Boston,Stay-at-home order begins
5/18/20,Boston,Stay-at-home order ends
6/8/20,Boston,Phase 2 Reopening
7/6/20,Boston,Phase 3 reopening